Release 8.1i - Fit P.20131013
Copyright(c) 1995-2003 Xilinx Inc. All rights reserved

 4-28-2022  1:04PM

NOTE: This file is designed to be imported into a spreadsheet program
such as Microsoft Excel for viewing, printing and sorting. The comma ','
character is used as the data field separator.
This file is also designed to support parsing.

Input file:  REU.ngd
output file: REU_pad.csv
Part type:   xc2c384
Speed grade: -7
Package:     tq144

Pinout by Pin Number:

-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,{blank},Slew Rate,Termination,{blank},Voltage,Constraint,
P1,,VCC,VCC,,,,,,,,,,
P2,KPR,,I/O/GTS2,,,2,,,,,,,
P3,KPR,,I/O/GTS3,,,2,,,,,,,
P4,D<3>,I/O,I/O,BIDIR,LVCMOS18,2,,FAST,,,,
P5,D<4>,I/O,I/O/GTS0,BIDIR,LVCMOS18,2,,FAST,,,,
P6,nRESET,I,I/O/GTS1,INPUT,LVCMOS18,2,,FAST,,,,
P7,KPR,,I/O,,,2,,,,,,,
P8,,VCCAUX,VAUX,,,,,,,,,,
P9,D<7>,I/O,I/O,BIDIR,LVCMOS18,2,,FAST,,,,
P10,KPR,,I/O,,,2,,,,,,,
P11,KPR,,I/O,,,2,,,,,,,
P12,KPR,,I/O,,,2,,,,,,,
P13,KPR,,I/O,,,2,,,,,,,
P14,KPR,,I/O,,,2,,,,,,,
P15,KPR,,I/O,,,2,,,,,,,
P16,KPR,,I/O,,,2,,,,,,,
P17,KPR,,I/O,,,2,,,,,,,
P18,KPR,,I/O,,,2,,,,,,,
P19,RD<7>,I/O,I/O,BIDIR,LVCMOS18,1,,FAST,,,,
P20,RD<6>,I/O,I/O,BIDIR,LVCMOS18,1,,FAST,,,,
P21,RD<5>,I/O,I/O,BIDIR,LVCMOS18,1,,FAST,,,,
P22,RD<4>,I/O,I/O,BIDIR,LVCMOS18,1,,FAST,,,,
P23,RD<3>,I/O,I/O,BIDIR,LVCMOS18,1,,FAST,,,,
P24,RD<2>,I/O,I/O,BIDIR,LVCMOS18,1,,FAST,,,,
P25,A<5>,I/O,I/O,BIDIR,LVCMOS18,1,,FAST,,,,
P26,A<6>,I/O,I/O,BIDIR,LVCMOS18,1,,FAST,,,,
P27,,VCCIO-1.8,VCCIO,,,,,,,,,,
P28,A<7>,I/O,I/O,BIDIR,LVCMOS18,1,,FAST,,,,
P29,GND,,GND,,,,,,,,,,
P30,C8M,GCK,I/O/GCK0,,LVCMOS18,1,,FAST,,,,
P31,KPR,,I/O,,,1,,,,,,,
P32,PHI2,GCK/I,I/O/GCK1,,LVCMOS18,1,,FAST,,,,
P33,nIO2,I,I/O,INPUT,LVCMOS18,1,,FAST,,,,
P34,RD<1>,I/O,I/O,BIDIR,LVCMOS18,1,,FAST,,,,
P35,RD<0>,I/O,I/O/CDR,BIDIR,LVCMOS18,1,,FAST,,,,
P36,GND,,GND,,,,,,,,,,
P37,,VCC,VCC,,,,,,,,,,
P38,A<15>,I/O,I/O/GCK2,BIDIR,LVCMOS18,1,,FAST,,,,
P39,A<14>,I/O,I/O/DGE,BIDIR,LVCMOS18,1,,FAST,,,,
P40,A<13>,I/O,I/O,BIDIR,LVCMOS18,1,,FAST,,,,
P41,A<12>,I/O,I/O,BIDIR,LVCMOS18,1,,FAST,,,,
P42,A<11>,I/O,I/O,BIDIR,LVCMOS18,1,,FAST,,,,
P43,A<10>,I/O,I/O,BIDIR,LVCMOS18,1,,FAST,,,,
P44,KPR,,I/O,,,1,,,,,,,
P45,KPR,,I/O,,,1,,,,,,,
P46,KPR,,I/O,,,1,,,,,,,
P47,GND,,GND,,,,,,,,,,
P48,KPR,,I/O,,,1,,,,,,,
P49,KPR,,I/O,,,1,,,,,,,
P50,KPR,,I/O,,,1,,,,,,,
P51,A<4>,I/O,I/O,BIDIR,LVCMOS18,1,,FAST,,,,
P52,A<3>,I/O,I/O,BIDIR,LVCMOS18,1,,FAST,,,,
P53,A<2>,I/O,I/O,BIDIR,LVCMOS18,1,,FAST,,,,
P54,A<1>,I/O,I/O,BIDIR,LVCMOS18,1,,FAST,,,,
P55,,VCCIO-1.8,VCCIO,,,,,,,,,,
P56,KPR,,I/O,,,3,,,,,,,
P57,KPR,,I/O,,,3,,,,,,,
P58,KPR,,I/O,,,3,,,,,,,
P59,KPR,,I/O,,,3,,,,,,,
P60,KPR,,I/O,,,3,,,,,,,
P61,KPR,,I/O,,,3,,,,,,,
P62,GND,,GND,,,,,,,,,,
P63,TDI,,TDI,,,,,,,,,,
P64,KPR,,I/O,,,3,,,,,,,
P65,TMS,,TMS,,,,,,,,,,
P66,KPR,,I/O,,,3,,,,,,,
P67,TCK,,TCK,,,,,,,,,,
P68,KPR,,I/O,,,3,,,,,,,
P69,KPR,,I/O,,,3,,,,,,,
P70,KPR,,I/O,,,3,,,,,,,
P71,KPR,,I/O,,,3,,,,,,,
