"Reference","Quantity","Value","Footprint","LCSC Part","DNP"
"C1, C2, C3, C4, C5, C6","6","10u","stdpads:C_0805","C15850",""
"C7, C32, C33, C34","4","22p","stdpads:C_0603","C1653",""
"C8, C9, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C31, C35, C36","26","2u2","stdpads:C_0603","C23630",""
"D1","1","LED","stdpads:LED_0805","",""
"FID1, FID2, FID3, FID4","4","Fiducial","stdpads:Fiducial","",""
"H1, H2","2","","stdpads:PasteHole_1.1mm_PTH","",""
"H3, H4, H5","3","","stdpads:PasteHole_1.152mm_NPTH","",""
"J1","1","C64","stdpads:AppleIIgsMemoryExpansion_Edge","",""
"J2","1","microUSB","stdpads:USB_Micro-B_Amphenol_10118192-0001","C404969",""
"J3","1","JTAG","Connector:Tag-Connect_TC2050-IDC-FP_2x05_P1.27mm_Vertical","",""
"R1, R6, R7, R10","4","47","stdpads:R_0603","C23182",""
"R2, R3, R5, R17, R18, R19, R20, R21","8","1k","stdpads:R_0603","C25804",""
"R8, R9, R11, R12, R13, R14, R16","7","10k","stdpads:R_0603","C25804",""
"R22","1","220","stdpads:R_0805","",""
"U1, U2, U4, U5","4","74AHC245PW","stdpads:TSSOP-20_4.4x6.5mm_P0.65mm","C132987",""
"U3","1","LD1117S33","stdpads:SOT-223","C108494",""
"U6, U10","2","74AHC125PW","stdpads:TSSOP-14_4.4x5mm_P0.65mm","C129518",""
"U8","1","LCMXO2-640-TG100","stdpads:TQFP-100_14x14mm_P0.5mm","",""
"U9","1","W9825G6KH-6","stdpads:TSOP-II-54_22.2x10.16mm_P0.8mm","C62246",""
"U13","1","CH340G","stdpads:SOIC-16_3.9mm","C14267",""
"Y1","1","12M","stdpads:Crystal_SMD_3225-4Pin_3.2x2.5mm","",""
