Ref,Val,Package,MidX,MidY,Rotation,Side
"C1","10u","C_0805",109.450000,-74.800000,180.000000,top
"C2","10u","C_0805",112.600000,-73.400000,-90.000000,top
"C3","10u","C_0805",106.150000,-62.100000,180.000000,top
"C4","10u","C_0805",109.650000,-62.100000,0.000000,top
"C5","10u","C_0805",106.150000,-59.900000,180.000000,top
"C6","10u","C_0805",109.650000,-59.900000,0.000000,top
"C7","22p","C_0603",148.000000,-45.650000,0.000000,top
"C8","2u2","C_0603",108.500000,-79.800000,-90.000000,top
"C9","2u2","C_0603",120.400000,-79.800000,-90.000000,top
"C10","2u2","C_0603",131.350000,-79.800000,-90.000000,top
"C11","2u2","C_0603",140.600000,-79.800000,-90.000000,top
"C12","2u2","C_0603",149.800000,-79.800000,-90.000000,top
"C13","2u2","C_0603",112.300000,-61.550000,-90.000000,top
"C14","2u2","C_0603",112.300000,-70.050000,90.000000,top
"C15","2u2","C_0603",116.550000,-75.000000,0.000000,top
"C16","2u2","C_0603",125.500000,-75.000000,180.000000,top
"C17","2u2","C_0603",128.750000,-75.000000,0.000000,top
"C18","2u2","C_0603",131.700000,-69.050000,90.000000,top
"C19","2u2","C_0603",131.700000,-60.550000,-90.000000,top
"C20","2u2","C_0603",126.250000,-55.600000,0.000000,top
"C21","2u2","C_0603",119.750000,-55.600000,0.000000,top
"C22","2u2","C_0603",115.250000,-55.600000,180.000000,top
"C23","2u2","C_0603",119.634000,-41.668000,90.000000,top
"C24","2u2","C_0603",156.800000,-72.050000,90.000000,top
"C25","2u2","C_0603",156.800000,-68.750000,-90.000000,top
"C26","2u2","C_0603",156.800000,-64.800000,-90.000000,top
"C27","2u2","C_0603",156.800000,-54.350000,-90.000000,top
"C28","2u2","C_0603",141.200000,-64.800000,90.000000,top
"C29","2u2","C_0603",141.200000,-71.150000,-90.000000,top
"C30","2u2","C_0603",110.172500,-46.978000,-90.000000,top
"C31","2u2","C_0603",116.661500,-40.767000,180.000000,top
"C32","22p","C_0603",109.950000,-56.500000,-90.000000,top
"C33","22p","C_0603",107.400000,-44.000000,0.000000,top
"C34","22p","C_0603",141.450000,-41.250000,-90.000000,top
"C35","2u2","C_0603",148.000000,-48.650000,180.000000,top
"FID1","Fiducial","Fiducial",105.092500,-38.735000,0.000000,top
"FID2","Fiducial","Fiducial",159.067500,-38.735000,0.000000,top
"FID3","Fiducial","Fiducial",158.750000,-85.471000,0.000000,top
"FID4","Fiducial","Fiducial",105.283000,-85.471000,0.000000,top
"J2","microUSB","USB_Micro-B_ShouHan_MicroXNJ",134.350000,-39.800000,90.000000,top
"R1","47","R_0603",125.650000,-77.250000,0.000000,top
"R2","1k","R_0603",136.450000,-44.350000,180.000000,top
"R3","1k","R_0603",122.150000,-41.650000,90.000000,top
"R4","1k","R_0603",108.331000,-40.894000,0.000000,top
"R5","1k","R_0603",120.450000,-83.400000,-90.000000,top
"R6","47","R_0603",120.600000,-76.300000,-90.000000,top
"R7","47","R_0603",132.750000,-66.800000,180.000000,top
"R8","10k","R_0603",141.200000,-53.600000,-90.000000,top
"R9","10k","R_0603",137.450000,-57.500000,180.000000,top
"R10","47","R_0603",145.800000,-46.400000,90.000000,top
"R11","10k","R_0603",137.450000,-56.000000,180.000000,top
"R12","10k","R_0603",137.450000,-54.500000,180.000000,top
"R13","10k","R_0603",148.000000,-47.150000,180.000000,top
"R14","10k","R_0603",137.450000,-53.000000,180.000000,top
"R15","1k","R_0603",111.849000,-40.894000,180.000000,top
"R16","10k","R_0603",139.950000,-41.250000,-90.000000,top
"U1","74AHC245PW","TSSOP-20_4.4x6.5mm_P0.65mm",144.975000,-82.000000,0.000000,top
"U2","74AHC245PW","TSSOP-20_4.4x6.5mm_P0.65mm",135.775000,-82.000000,0.000000,top
"U3","LD1117S33","SOT-223",108.000000,-69.100000,-90.000000,top
"U4","74AHC245PW","TSSOP-20_4.4x6.5mm_P0.65mm",154.175000,-82.000000,0.000000,top
"U5","74AHC245PW","TSSOP-20_4.4x6.5mm_P0.65mm",124.825000,-82.000000,0.000000,top
"U6","74AHC125PW","TSSOP-14_4.4x5mm_P0.65mm",112.000000,-82.000000,0.000000,top
"U8","LCMXO2-640-TG100","TQFP-100_14x14mm_P0.5mm",122.000000,-65.300000,-90.000000,top
"U9","W9825G6KH-6","TSOP-II-54_22.2x10.16mm_P0.8mm",149.000000,-64.000000,90.000000,top
"U10","74AHC125PW","TSSOP-14_4.4x5mm_P0.65mm",125.750000,-43.500000,0.000000,top
"U13","CH340G","SOIC-16_3.9mm",114.935000,-46.863000,-90.000000,top
"Y1","12M","Crystal_HC49-SMD",106.650000,-51.500000,90.000000,top
